"city","year","value"
"Athens","1986",162.414154052734
"Athens","1987",163.925506591797
"Athens","1988",163.971038818359
"Athens","1989",164.129058837891
"Athens","1990",164.010513305664
"Athens","1991",163.299057006836
"Athens","1992",164.663223266602
"Athens","1993",164.767700195312
"Athens","1994",164.743057250977
"Athens","1995",164.606735229492
"Athens","1996",163.608444213867
"Athens","1997",163.539337158203
"Athens","1998",163.240707397461
"Athens","1999",163.423294067383
"Athens","2000",164.023559570312
"Athens","2001",164.782806396484
"Athens","2002",165.502319335938
"Athens","2003",165.618545532227
"Athens","2004",165.550994873047
"Athens","2005",166.424774169922
"Athens","2006",166.321487426758
"Athens","2007",166.246170043945
"Athens","2008",166.41796875
"Athens","2009",166.193542480469
"Athens","2010",166.458633422852
"Athens","2011",166.636352539062
"Athens","2012",166.781402587891
"Athens","2013",168.384552001953
"Athens","2014",167.419418334961
"Athens","2015",167.463409423828
"Athens","2016",167.640686035156
"Athens","2017",167.326614379883
"Athens","2018",167.479370117188
"Athens","2019",167.433013916016
"Athens","2020",167.599685668945
"Athens","2021",168.445907592773
"Athens","2022",167.878372192383
"Athens","2023",168.053894042969
"Athens","2024",168.235595703125
"Athens","2025",168.493438720703
"Athens","2026",169.599578857422
"Athens","2027",169.617950439453
"Athens","2028",169.953521728516
"Athens","2029",169.96028137207
"Athens","2030",170.092041015625
"Athens","2031",169.757827758789
"Athens","2032",169.863967895508
"Athens","2033",169.998748779297
"Athens","2034",170.015014648438
"Athens","2035",170.031997680664
"Athens","2036",170.135452270508
"Athens","2037",170.931289672852
"Athens","2038",170.806427001953
"Athens","2039",171.03759765625
"Athens","2040",170.943008422852
"Athens","2041",171.616607666016
"Athens","2042",171.731216430664
"Athens","2043",171.014541625977
"Athens","2044",171.966003417969
"Athens","2045",171.188674926758
"Athens","2046",171.275375366211
"Athens","2047",171.704544067383
"Athens","2048",171.722442626953
"Athens","2049",170.997177124023
"Athens","2050",171.055511474609
"Athens","2051",171.080810546875
"Athens","2052",170.346389770508
"Athens","2053",170.316604614258
"Athens","2054",170.235641479492
"Athens","2055",170.53564453125
"Athens","2056",170.575729370117
"Athens","2057",170.690505981445
"Athens","2058",170.813186645508
"Athens","2059",170.681121826172
"Athens","2060",170.71533203125
"Athens","2061",171.028884887695
"Athens","2062",171.119445800781
"Athens","2063",171.13818359375
"Athens","2064",171.259017944336
"Athens","2065",171.171340942383
"Athens","2066",171.266296386719
"Athens","2067",171.286819458008
"Athens","2068",171.383651733398
"Athens","2069",171.439407348633
