"city","year","value"
"Athens","1986",4.72846698760986
"Athens","1987",5.02763414382935
"Athens","1988",5.23133134841919
"Athens","1989",5.04108905792236
"Athens","1990",5.18243741989136
"Athens","1991",5.26165008544922
"Athens","1992",5.44104385375977
"Athens","1993",5.32075595855713
"Athens","1994",5.68045282363892
"Athens","1995",5.5593318939209
"Athens","1996",5.61218070983887
"Athens","1997",5.72618007659912
"Athens","1998",5.87069511413574
"Athens","1999",6.01422548294067
"Athens","2000",6.14058923721313
"Athens","2001",6.32102870941162
"Athens","2002",6.57928609848022
"Athens","2003",6.75590753555298
"Athens","2004",7.04680156707764
"Athens","2005",7.43743801116943
"Athens","2006",7.87963533401489
"Athens","2007",8.26446914672852
"Athens","2008",8.60407543182373
"Athens","2009",8.69193935394287
"Athens","2010",8.69522666931152
"Athens","2011",9.02068138122559
"Athens","2012",9.21695423126221
"Athens","2013",9.2925615310669
"Athens","2014",9.50922775268555
"Athens","2015",9.86880397796631
"Athens","2016",9.98794078826904
"Athens","2017",10.1109409332275
"Athens","2018",10.2219858169556
"Athens","2019",10.7103805541992
"Athens","2020",11.0907440185547
"Athens","2021",11.4580936431885
"Athens","2022",11.7831087112427
"Athens","2023",12.3857154846191
"Athens","2024",12.4799737930298
"Athens","2025",12.7190961837769
"Athens","2026",13.1715059280396
"Athens","2027",13.8446893692017
"Athens","2028",14.3084774017334
"Athens","2029",14.9742813110352
"Athens","2030",15.3440856933594
"Athens","2031",15.6667537689209
"Athens","2032",16.0662250518799
"Athens","2033",16.9208927154541
"Athens","2034",17.3498020172119
"Athens","2035",17.9299240112305
"Athens","2036",18.214319229126
"Athens","2037",18.8038787841797
"Athens","2038",19.4808502197266
"Athens","2039",20.3442440032959
"Athens","2040",20.8069591522217
"Athens","2041",21.4706420898438
"Athens","2042",21.9952945709229
"Athens","2043",22.7090835571289
"Athens","2044",23.1290550231934
"Athens","2045",23.7281322479248
"Athens","2046",24.5697689056396
"Athens","2047",25.3884830474854
"Athens","2048",26.4312705993652
"Athens","2049",26.9078636169434
"Athens","2050",27.5217876434326
"Athens","2051",28.2193794250488
"Athens","2052",28.9530029296875
"Athens","2053",29.7661552429199
"Athens","2054",30.9057922363281
"Athens","2055",32.1139602661133
"Athens","2056",32.8293991088867
"Athens","2057",33.1415977478027
"Athens","2058",33.7111434936523
"Athens","2059",33.6854629516602
"Athens","2060",34.6590538024902
"Athens","2061",35.6139183044434
"Athens","2062",36.5771903991699
"Athens","2063",37.4257392883301
"Athens","2064",38.333194732666
"Athens","2065",38.9715156555176
"Athens","2066",40.0300750732422
"Athens","2067",40.7234992980957
"Athens","2068",41.4075164794922
"Athens","2069",42.0426826477051
"Athens","2070",42.9656982421875
"Athens","2071",43.5040512084961
"Athens","2072",44.3198547363281
"Athens","2073",45.452808380127
"Athens","2074",46.6967468261719
"Athens","2075",47.4555053710938
"Athens","2076",48.1050834655762
"Athens","2077",49.0181427001953
"Athens","2078",49.5019187927246
"Athens","2079",50.5580863952637
"Athens","2080",51.4963455200195
"Athens","2081",52.5025405883789
"Athens","2082",53.6596031188965
"Athens","2083",54.4344635009766
"Athens","2084",55.0476608276367
"Athens","2085",55.6151161193848
"Barcelona","1986",3.00462651252747
"Barcelona","1987",3.11053705215454
"Barcelona","1988",3.2334578037262
"Barcelona","1989",2.9748809337616
"Barcelona","1990",3.01118779182434
"Barcelona","1991",3.0055844783783
"Barcelona","1992",3.31328415870667
"Barcelona","1993",3.50704717636108
"Barcelona","1994",3.46258473396301
"Barcelona","1995",3.6573543548584
"Barcelona","1996",3.66732811927795
"Barcelona","1997",3.78801012039185
"Barcelona","1998",3.88956737518311
"Barcelona","1999",4.00732374191284
"Barcelona","2000",4.15310001373291
"Barcelona","2001",4.5191502571106
"Barcelona","2002",4.67577743530273
"Barcelona","2003",4.84000968933105
"Barcelona","2004",4.91972398757935
"Barcelona","2005",5.01901865005493
"Barcelona","2006",5.36115264892578
"Barcelona","2007",5.8460841178894
"Barcelona","2008",6.05434608459473
"Barcelona","2009",6.13036394119263
"Barcelona","2010",6.5026683807373
"Barcelona","2011",6.6599588394165
"Barcelona","2012",6.70925903320312
"Barcelona","2013",7.06912469863892
"Barcelona","2014",7.41853761672974
"Barcelona","2015",7.38617467880249
"Barcelona","2016",7.36722040176392
"Barcelona","2017",7.52460527420044
"Barcelona","2018",7.89811754226685
"Barcelona","2019",8.18937492370605
"Barcelona","2020",8.40906715393066
"Barcelona","2021",8.76784896850586
"Barcelona","2022",9.11220836639404
"Barcelona","2023",9.27954959869385
"Barcelona","2024",9.54946613311768
"Barcelona","2025",9.71832942962646
"Barcelona","2026",10.0705318450928
"Barcelona","2027",10.3314580917358
"Barcelona","2028",10.8687400817871
"Barcelona","2029",11.2204437255859
"Barcelona","2030",12.0313415527344
"Barcelona","2031",12.3395719528198
"Barcelona","2032",12.7958841323853
"Barcelona","2033",12.8505620956421
"Barcelona","2034",13.1475639343262
"Barcelona","2035",13.5903062820435
"Barcelona","2036",14.2740879058838
"Barcelona","2037",15.077540397644
"Barcelona","2038",15.6360092163086
"Barcelona","2039",16.3562812805176
"Barcelona","2040",17.1273899078369
"Barcelona","2041",17.9242725372314
"Barcelona","2042",19.0552463531494
"Barcelona","2043",19.9293689727783
"Barcelona","2044",19.9714183807373
"Barcelona","2045",20.8049049377441
"Barcelona","2046",21.5361442565918
"Barcelona","2047",22.0337982177734
"Barcelona","2048",22.4339733123779
"Barcelona","2049",23.0717468261719
"Barcelona","2050",23.7482681274414
"Barcelona","2051",24.6108818054199
"Barcelona","2052",25.163143157959
"Barcelona","2053",25.6198444366455
"Barcelona","2054",26.4044990539551
"Barcelona","2055",27.6767482757568
"Barcelona","2056",28.5841751098633
"Barcelona","2057",29.325798034668
"Barcelona","2058",29.7842922210693
"Barcelona","2059",30.7648296356201
"Barcelona","2060",30.9575824737549
"Barcelona","2061",31.8809013366699
"Barcelona","2062",32.6459121704102
"Barcelona","2063",34.3859977722168
"Barcelona","2064",35.1147155761719
"Barcelona","2065",35.7405891418457
"Barcelona","2066",36.343147277832
"Barcelona","2067",36.6414947509766
"Barcelona","2068",37.6249389648438
"Barcelona","2069",38.0784912109375
"Barcelona","2070",38.3635673522949
"Barcelona","2071",38.9333534240723
"Barcelona","2072",39.5595893859863
"Barcelona","2073",40.0174026489258
"Barcelona","2074",41.0756454467773
"Barcelona","2075",42.2644691467285
"Barcelona","2076",42.954158782959
"Barcelona","2077",44.0008850097656
"Barcelona","2078",45.1244735717773
"Barcelona","2079",46.2955551147461
"Barcelona","2080",47.171745300293
"Barcelona","2081",47.3198890686035
"Barcelona","2082",47.9093437194824
"Barcelona","2083",49.2917175292969
"Barcelona","2084",50.2519187927246
"Barcelona","2085",50.6319885253906
"Budapest","1986",3.6646146774292
"Budapest","1987",3.78641104698181
"Budapest","1988",4.03211688995361
"Budapest","1989",3.91693735122681
"Budapest","1990",3.98500657081604
"Budapest","1991",4.31295490264893
"Budapest","1992",4.47597932815552
"Budapest","1993",4.38672113418579
"Budapest","1994",4.68781185150146
"Budapest","1995",4.61513614654541
"Budapest","1996",4.73636722564697
"Budapest","1997",4.88360404968262
"Budapest","1998",4.95847702026367
"Budapest","1999",4.98224353790283
"Budapest","2000",5.17692708969116
"Budapest","2001",5.69241809844971
"Budapest","2002",5.87325811386108
"Budapest","2003",6.14606094360352
"Budapest","2004",6.28996706008911
"Budapest","2005",6.58092355728149
"Budapest","2006",6.84788465499878
"Budapest","2007",6.98806381225586
"Budapest","2008",7.14945650100708
"Budapest","2009",7.34861946105957
"Budapest","2010",7.56396770477295
"Budapest","2011",7.79047298431396
"Budapest","2012",8.04459762573242
"Budapest","2013",8.40353965759277
"Budapest","2014",8.68205451965332
"Budapest","2015",8.9323673248291
"Budapest","2016",8.86582660675049
"Budapest","2017",8.97183609008789
"Budapest","2018",9.17723560333252
"Budapest","2019",9.46798038482666
"Budapest","2020",9.79289627075195
"Budapest","2021",9.97797012329102
"Budapest","2022",10.2215633392334
"Budapest","2023",10.4977970123291
"Budapest","2024",10.2922267913818
"Budapest","2025",10.6154251098633
"Budapest","2026",10.7348127365112
"Budapest","2027",10.8423089981079
"Budapest","2028",11.406210899353
"Budapest","2029",11.7449016571045
"Budapest","2030",12.0811672210693
"Budapest","2031",12.066029548645
"Budapest","2032",12.483998298645
"Budapest","2033",12.4718532562256
"Budapest","2034",12.5066318511963
"Budapest","2035",12.7165126800537
"Budapest","2036",12.8909044265747
"Budapest","2037",13.3426456451416
"Budapest","2038",13.6458492279053
"Budapest","2039",13.9301462173462
"Budapest","2040",14.3166399002075
"Budapest","2041",15.1629972457886
"Budapest","2042",15.6474618911743
"Budapest","2043",16.0687351226807
"Budapest","2044",16.1281585693359
"Budapest","2045",16.4556102752686
"Budapest","2046",17.0594635009766
"Budapest","2047",17.4622268676758
"Budapest","2048",17.6378364562988
"Budapest","2049",18.0016975402832
"Budapest","2050",18.3597164154053
"Budapest","2051",18.4545879364014
"Budapest","2052",18.6993732452393
"Budapest","2053",18.8842792510986
"Budapest","2054",19.9794616699219
"Budapest","2055",20.4349040985107
"Budapest","2056",21.2730121612549
"Budapest","2057",22.0065994262695
"Budapest","2058",22.0712985992432
"Budapest","2059",22.2484378814697
"Budapest","2060",22.5899353027344
"Budapest","2061",23.197135925293
"Budapest","2062",23.7710437774658
"Budapest","2063",24.8123149871826
"Budapest","2064",25.7004814147949
"Budapest","2065",26.6078929901123
"Budapest","2066",27.2398242950439
"Budapest","2067",27.7420215606689
"Budapest","2068",28.259838104248
"Budapest","2069",29.201208114624
"Budapest","2070",29.7249317169189
"Budapest","2071",29.7472515106201
"Budapest","2072",30.1708908081055
"Budapest","2073",30.5502014160156
"Budapest","2074",31.1556434631348
"Budapest","2075",32.1614418029785
"Budapest","2076",33.1483764648438
"Budapest","2077",33.9464912414551
"Budapest","2078",34.436840057373
"Budapest","2079",35.2715759277344
"Budapest","2080",35.8856468200684
"Budapest","2081",36.7966194152832
"Budapest","2082",37.7756996154785
"Budapest","2083",38.5980377197266
"Budapest","2084",38.951847076416
"Budapest","2085",39.5813102722168
"London","1986",3.40300273895264
"London","1987",3.61123061180115
"London","1988",3.82390785217285
