RCP,city,year,value
85,Athens,1986,4.72846698760986
85,Athens,1987,5.02763414382935
85,Athens,1988,5.23133134841919
85,Athens,1989,5.04108905792236
85,Athens,1990,5.18243741989136
85,Athens,1991,5.26165008544922
85,Athens,1992,5.44104385375977
85,Athens,1993,5.32075595855713
85,Athens,1994,5.68045282363892
85,Athens,1995,5.5593318939209
85,Athens,1996,5.61218070983887
85,Athens,1997,5.72618007659912
85,Athens,1998,5.87069511413574
85,Athens,1999,6.01422548294067
85,Athens,2000,6.14058923721313
85,Athens,2001,6.32102870941162
85,Athens,2002,6.57928609848022
85,Athens,2003,6.75590753555298
85,Athens,2004,7.04680156707764
85,Athens,2005,7.43743801116943
85,Athens,2006,7.87963533401489
85,Athens,2007,8.26446914672852
85,Athens,2008,8.60407543182373
85,Athens,2009,8.69193935394287
85,Athens,2010,8.69522666931152
85,Athens,2011,9.02068138122559
85,Athens,2012,9.21695423126221
85,Athens,2013,9.2925615310669
85,Athens,2014,9.50922775268555
85,Athens,2015,9.86880397796631
85,Athens,2016,9.98794078826904
85,Athens,2017,10.1109409332275
85,Athens,2018,10.2219858169556
85,Athens,2019,10.7103805541992
85,Athens,2020,11.0907440185547
85,Athens,2021,11.4580936431885
85,Athens,2022,11.7831087112427
85,Athens,2023,12.3857154846191
85,Athens,2024,12.4799737930298
85,Athens,2025,12.7190961837769
85,Athens,2026,13.1715059280396
85,Athens,2027,13.8446893692017
85,Athens,2028,14.3084774017334
85,Athens,2029,14.9742813110352
85,Athens,2030,15.3440856933594
85,Athens,2031,15.6667537689209
85,Athens,2032,16.0662250518799
85,Athens,2033,16.9208927154541
85,Athens,2034,17.3498020172119
85,Athens,2035,17.9299240112305
85,Athens,2036,18.214319229126
85,Athens,2037,18.8038787841797
85,Athens,2038,19.4808502197266
85,Athens,2039,20.3442440032959
85,Athens,2040,20.8069591522217
85,Athens,2041,21.4706420898438
85,Athens,2042,21.9952945709229
85,Athens,2043,22.7090835571289
85,Athens,2044,23.1290550231934
85,Athens,2045,23.7281322479248
85,Athens,2046,24.5697689056396
85,Athens,2047,25.3884830474854
85,Athens,2048,26.4312705993652
85,Athens,2049,26.9078636169434
85,Athens,2050,27.5217876434326
85,Athens,2051,28.2193794250488
85,Athens,2052,28.9530029296875
85,Athens,2053,29.7661552429199
85,Athens,2054,30.9057922363281
85,Athens,2055,32.1139602661133
85,Athens,2056,32.8293991088867
85,Athens,2057,33.1415977478027
85,Athens,2058,33.7111434936523
85,Athens,2059,33.6854629516602
85,Athens,2060,34.6590538024902
85,Athens,2061,35.6139183044434
85,Athens,2062,36.5771903991699
85,Athens,2063,37.4257392883301
85,Athens,2064,38.333194732666
85,Athens,2065,38.9715156555176
85,Athens,2066,40.0300750732422
85,Athens,2067,40.7234992980957
85,Athens,2068,41.4075164794922
85,Athens,2069,42.0426826477051
85,Athens,2070,42.9656982421875
85,Athens,2071,43.5040512084961
85,Athens,2072,44.3198547363281
85,Athens,2073,45.452808380127
85,Athens,2074,46.6967468261719
85,Athens,2075,47.4555053710938
85,Athens,2076,48.1050834655762
85,Athens,2077,49.0181427001953
85,Athens,2078,49.5019187927246
85,Athens,2079,50.5580863952637
85,Athens,2080,51.4963455200195
85,Athens,2081,52.5025405883789
85,Athens,2082,53.6596031188965
85,Athens,2083,54.4344635009766
85,Athens,2084,55.0476608276367
85,Athens,2085,55.6151161193848
85,Barcelona,1986,3.00462651252747
85,Barcelona,1987,3.11053705215454
85,Barcelona,1988,3.2334578037262
85,Barcelona,1989,2.9748809337616
85,Barcelona,1990,3.01118779182434
85,Barcelona,1991,3.0055844783783
85,Barcelona,1992,3.31328415870667
85,Barcelona,1993,3.50704717636108
85,Barcelona,1994,3.46258473396301
85,Barcelona,1995,3.6573543548584
85,Barcelona,1996,3.66732811927795
85,Barcelona,1997,3.78801012039185
85,Barcelona,1998,3.88956737518311
85,Barcelona,1999,4.00732374191284
85,Barcelona,2000,4.15310001373291
85,Barcelona,2001,4.5191502571106
85,Barcelona,2002,4.67577743530273
85,Barcelona,2003,4.84000968933105
85,Barcelona,2004,4.91972398757935
85,Barcelona,2005,5.01901865005493
85,Barcelona,2006,5.36115264892578
85,Barcelona,2007,5.8460841178894
85,Barcelona,2008,6.05434608459473
85,Barcelona,2009,6.13036394119263
85,Barcelona,2010,6.5026683807373
85,Barcelona,2011,6.6599588394165
85,Barcelona,2012,6.70925903320312
85,Barcelona,2013,7.06912469863892
85,Barcelona,2014,7.41853761672974
85,Barcelona,2015,7.38617467880249
85,Barcelona,2016,7.36722040176392
85,Barcelona,2017,7.52460527420044
85,Barcelona,2018,7.89811754226685
85,Barcelona,2019,8.18937492370605
85,Barcelona,2020,8.40906715393066
85,Barcelona,2021,8.76784896850586
85,Barcelona,2022,9.11220836639404
85,Barcelona,2023,9.27954959869385
85,Barcelona,2024,9.54946613311768
85,Barcelona,2025,9.71832942962646
85,Barcelona,2026,10.0705318450928
85,Barcelona,2027,10.3314580917358
85,Barcelona,2028,10.8687400817871
85,Barcelona,2029,11.2204437255859
85,Barcelona,2030,12.0313415527344
85,Barcelona,2031,12.3395719528198
85,Barcelona,2032,12.7958841323853
85,Barcelona,2033,12.8505620956421
85,Barcelona,2034,13.1475639343262
85,Barcelona,2035,13.5903062820435
85,Barcelona,2036,14.2740879058838
85,Barcelona,2037,15.077540397644
85,Barcelona,2038,15.6360092163086
85,Barcelona,2039,16.3562812805176
85,Barcelona,2040,17.1273899078369
85,Barcelona,2041,17.9242725372314
85,Barcelona,2042,19.0552463531494
85,Barcelona,2043,19.9293689727783
85,Barcelona,2044,19.9714183807373
85,Barcelona,2045,20.8049049377441
85,Barcelona,2046,21.5361442565918
85,Barcelona,2047,22.0337982177734
85,Barcelona,2048,22.4339733123779
85,Barcelona,2049,23.0717468261719
85,Barcelona,2050,23.7482681274414
85,Barcelona,2051,24.6108818054199
85,Barcelona,2052,25.163143157959
85,Barcelona,2053,25.6198444366455
85,Barcelona,2054,26.4044990539551
85,Barcelona,2055,27.6767482757568
85,Barcelona,2056,28.5841751098633
85,Barcelona,2057,29.325798034668
85,Barcelona,2058,29.7842922210693
